docid,text_data,dupe_count,level_0
2997040,"Chairman Pai:  I'm very concerned about the FCC regulations on the Internet. I want to ask the Federal Communications Commission to repeal The Obama/Wheeler power grab to regulate the Internet. Americans, rather than unelected bureaucrats, deserve to purchase whichever services they prefer. The Obama/Wheeler power grab to regulate the Internet is a perversion of net neutrality. It stopped a hands-off system that worked supremely well for decades with bipartisan approval.",1,14
8430936,"Freedom of speech, Freedom of the internet.  KEEP NET NEUTRALITY!!",1,-1
247549,I specifically support strong net neutrality backed by backed by Title 2 oversight of ISP's,1,-1
10968368,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.\n\nI don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.\n\nNow is not the time to let giant ISPs censor what we see and do online.\n\nCensorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.\n\nCourts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.\n\nChairman Pai has made clear that he intends to do exactly this.\n\nBut if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.\n\nInternet providers will be able to impose a private tax on every sector of the American economy.\n\nMoreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.\n\nI'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.\n\nSo I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.\n\nThank you!\r\nJoslyn Cardin",1,0
2341303,"To whom it may concern:  In reference to the FCC regulations on the Internet. I implore the Federal Communications Commission to rescind The Obama/Wheeler order to regulate broadband. Americans, as opposed to big government, should be free to select the services we desire. The Obama/Wheeler order to regulate broadband is a perversion of net neutrality. It undid a hands-off framework that worked remarkably smoothly for two decades with Republican and Democrat approval.",2,14
9008816,"I like the internet because I can find people who like the same things I do. And I get to watch entertaining videos on YouTube and other things, I even get news. So keep Net Neutrality a thing",1,-1
8433885,"Without Net Neutrality, we limit where people can go and how long it takes to get there. Should our next plan be to toll every road? Should ""A Street"" only be accessible on Tuesdays and Thursdays? Websites and services should become relevant based on their merit, not dictated by the artificial whims of big cable. Net Neutrality creates a democratic and free internet and protects everyone. If Comcast, AT&T, etc. want a bigger piece of the pie, then they should be willing to create superior services and EARN that slice.",1,-1
7470005,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.

I don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.

Now is not the time to let giant ISPs censor what we see and do online.

Censorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.

Courts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.

Chairman Pai has made clear that he intends to do exactly this.

But if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.

Internet providers will be able to impose a private tax on every sector of the American economy.

Moreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.

I'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.

So I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.

Thank you!
Nicki Lang",1,0
4888096,"I am concerned about the Obama takeover of the Internet. I urge you to rescind President Obama's order to control the web. Individuals, as opposed to Washington, ought to use whatever services we desire. President Obama's order to control the web is a exploitation  of the open Internet. It reversed a market-based system that performed very well for many years with nearly universal consensus.",1,14
4005399,"Chairman Pai:  In the matter of net neutrality. I'd like to recommend the FCC to repeal The Obama/Wheeler order to take over broadband. People like me, as opposed to Washington, deserve to enjoy whatever services we desire. The Obama/Wheeler order to take over broadband is a betrayal of net neutrality. It disrupted a hands-off policy that functioned very, very smoothly for a long time with nearly universal backing.",2,14
14422812,We need to preserve Net Neutrality and title 2.,1,-1
10998931,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.\n\nI don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.\n\nNow is not the time to let giant ISPs censor what we see and do online.\n\nCensorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.\n\nCourts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.\n\nChairman Pai has made clear that he intends to do exactly this.\n\nBut if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.\n\nInternet providers will be able to impose a private tax on every sector of the American economy.\n\nMoreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.\n\nI'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.\n\nSo I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.\n\nThank you!\r\nBeth Hollingshead",1,0
7907268,Where i live my highest internet option is 6 mpg. If you  were to slow down certain websites i would no longer even have the option of going to these websites. Please don't let this go through it would ruin the internet for a lot of people in rural areas.,1,-1
117712,"We need a free and open internet, as we have right now under Title II. I am horrified the FCC would consider rolling back regulations on companies who will most certainly use the ""light touch"" regulation to provide preference for one service over another or many others.  Do not change the current Net Neutrality rules; to do so will destroy the free flow of information and once again put profits over people.",2,-1
10243351,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.\n\nI don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.\n\nNow is not the time to let giant ISPs censor what we see and do online.\n\nCensorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.\n\nCourts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.\n\nChairman Pai has made clear that he intends to do exactly this.\n\nBut if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.\n\nInternet providers will be able to impose a private tax on every sector of the American economy.\n\nMoreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.\n\nI'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.\n\nSo I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.\n\nThank you!\r\nMari Rose",1,0
2841051,"To whom it may concern:  I would like to comment on Internet freedom. I request Chairman Pai to rescind Barack Obama's order to take over the Internet. Individual citizens, rather than the FCC, should be able to use which products we want. Barack Obama's order to take over the Internet is a betrayal of the open Internet. It ended a free-market approach that worked supremely successfully for decades with nearly universal support.",1,14
2839420,"To the FCC:  I'm very worried about restoring Internet freedom. I strongly demand the Federal Communications Commission to undo Obama's power grab to control Internet access. Americans, not big government, should be able to purchase whichever products we choose. Obama's power grab to control Internet access is a perversion of net neutrality. It broke a market-based framework that worked remarkably successfully for many years with both parties' approval.",1,14
408321,"I'm here to submit my words of support for keeping ISPs classified beneath Title II. I'm a free market supporter, but Internet Service Providers do not operate under the conditions of the free market. In my city, there is only one option for Internet access at home: Cox Communications. While we have other ISPs available, such as Frontier Communications or satellite internet providers, these options are far too slow and far too expensive to be real options. There are no plans for these providers to change their services any time soon. 

There is no competition in the consumer ISP business. I HAVE to use Cox. I don't have a choice. So, if they decide to pick a favorite business, throttle Netflix, or Amazon, or Hulu because they've made a deal to deliver content more quickly, I cannot switch to another provider. The market is broken. Until new technology comes around to disrupt the physical cable to the home connection with as good or better connection speeds, latency, and reliability, Cox has a monopoly. Monopolies must be regulated. 

Don't reclassify ISPs and subject consumers to the whims of ISP corporations when we have no choice in the market.

Thomas Bermant",1,-1
4509085,"To the Federal Communications Commission:  I'd like to share my thoughts on the FCC's Open Internet order. I'd like to advocate the FCC to repeal Obama's decision to take over the web. People like me, rather than Washington bureaucrats, ought to enjoy the products they want. Obama's decision to take over the web is a betrayal of net neutrality. It stopped a pro-consumer approach that worked exceptionally well for decades with bipartisan approval.",1,14
22089519,I urge you to reconsider your stance on eliminating net neutrality. I do not believe that this is fair to the vast majority of Americans and small businesses.,1,-1
8038384,"hay im not sure what i should say other then with me i need a open net to do what i do i make art and put it on the web my dream is to make a living off of and well right now i can see that dream but if we have to pay to so that others may see that art so that it will be psuhed over people who cant or do not bother paying for somthing that should be free i cant make a living off of it its ether i pay and make no money or i dont and no one see's my art so i ask with all in my haert do the right thing keep the net how it is thank you for your time
Robin Heuel",2,-1
235308,"We must preserve net neutrality and keep the ISP's classified as they are, under Title II. Don't screw this up.",1,-1
3403657,"Dear Commissioners:  In reference to Network Neutrality. I'd like to suggest the commissioners to reverse Tom Wheeler's policy to control the web. Individuals, not Washington bureaucrats, should be able to use whichever services they prefer. Tom Wheeler's policy to control the web is a exploitation  of the open Internet. It undid a hands-off framework that performed supremely successfully for a long time with broad bipartisan support.",2,14
9772366,"The FCC should safeguard Internet freedom by keeping the bright-line net neutrality protections in place and upholding Title II. 

The FCC should reject Chairman Ajit Pai’s proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we worked for and so recently won. 

I’m afraid of a “pay-to-play” Internet where ISPs can charge more for certain websites because ISPs could have too much power to determine what I can do online. Thankfully, the existing FCC regulations ensure that ISP monopolies can’t slow or block our access to certain websites or engage in data discrimination by charging online services and websites more money to reach consumers faster. That’s the best way forward to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai’s proposal would help turn Internet providers into gatekeepers with an effective veto right on innovation and expression. That’s contrary to the basic precepts on which the Internet was built. 

the internet is crucial to every minute in the modern world. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.",1,15
7733975,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.

I don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.

Now is not the time to let giant ISPs censor what we see and do online.

Censorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.

Courts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.

Chairman Pai has made clear that he intends to do exactly this.

But if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.

Internet providers will be able to impose a private tax on every sector of the American economy.

Moreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.

I'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.

So I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.

Thank you!
Julie Hunnicutt",1,0
8435642,"The internet has become an undocument right. The people of the United States are about to loose a right. As well, small business depend on Net Neutrality, so giving the power to big businesses is giving more money to the top 1%.",1,-1
10491943,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.\r\n\r\nI don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.\r\n\r\nNow is not the time to let giant ISPs censor what we see and do online.\r\n\r\nCensorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.\r\n\r\nCourts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.\r\n\r\nChairman Pai has made clear that he intends to do exactly this.\r\n\r\nBut if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.\r\n\r\nInternet providers will be able to impose a private tax on every sector of the American economy.\r\n\r\nMoreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.\r\n\r\nI'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.\r\n\r\nSo I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.\r\n\r\nThank you!\r\nTimothy Crosas",1,0
7623952,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.

I don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.

Now is not the time to let giant ISPs censor what we see and do online.

Censorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.

Courts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.

Chairman Pai has made clear that he intends to do exactly this.

But if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.

Internet providers will be able to impose a private tax on every sector of the American economy.

Moreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.

I'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.

So I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.

Thank you!
Christopher Ferreira",1,0
10495016,"The FCC's Open Internet Rules (net neutrality rules) are extremely important. I urge you to protect them.\r\n\r\nSmall Business doesn't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.\r\n\r\nNow is not the time to let giant ISPs determine what citizens see and do online.\r\n\r\nCensorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.\r\n\r\nCourts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.\r\n\r\nChairman Pai has made clear that he intends to do exactly this.\r\n\r\nBut if we have to pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.\r\n\r\nInternet providers will be able to impose a private tax on every sector of the American economy.\r\n\r\nMoreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.\r\n\r\nI'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me, the small business I work for, and millions of other Americans.\r\n\r\nSo I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II. It's common sense. \r\n\r\nThank you!\r\nWendy Singer",1,-1
3222797,"Chairman Pai:  Hi, I'd like to comment on Title 2 and net neutrality. I would like to advocate the commissioners to overturn Obama's decision to regulate Internet access. Individual Americans, rather than unelected bureaucrats, should be able to select which services they prefer. Obama's decision to regulate Internet access is a perversion of net neutrality. It reversed a free-market framework that worked fabulously successfully for a long time with bipartisan approval.",1,14
2820734,"Dear Commissioners:  I want to give my opinion on Title 2 and net neutrality. I strongly suggest the FCC to undo Obama's plan to regulate the web. Americans, rather than unelected bureaucrats, should be able to use whatever applications they choose. Obama's plan to regulate the web is a perversion of net neutrality. It ended a hands-off policy that performed exceptionally successfully for many years with Republican and Democrat support.",1,14
2807406,"FCC:  I'm concerned about NET NEUTRALITY. I would like to request Chairman Pai to rescind Obama's power grab to control Internet access. Citizens, rather than unelected bureaucrats, should be able to use the applications we desire. Obama's power grab to control Internet access is a distortion of net neutrality. It ended a hands-off policy that functioned remarkably well for a long time with broad bipartisan support.",1,14
10233281,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.\n\nI don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.\n\nNow is not the time to let giant ISPs censor what we see and do online.\n\nCensorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.\n\nCourts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.\n\nChairman Pai has made clear that he intends to do exactly this.\n\nBut if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.\n\nInternet providers will be able to impose a private tax on every sector of the American economy.\n\nMoreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.\n\nI'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.\n\nSo I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.\n\nThank you!\r\nCasey Urtecho",1,0
207900,"I support strong net neutrality backed by title 2 over site of ISP's. Please don't allow corporate greed to dictate the access of information and content on the internet. 

Thank you",1,-1
2778036,"To the FCC:  I am a voter worried about the FCC rules on the Internet. I want to encourage the government to undo The Obama/Wheeler policy to control the web. Individual citizens, not unelected bureaucrats, should purchase whichever services we prefer. The Obama/Wheeler policy to control the web is a betrayal of the open Internet. It ended a light-touch framework that worked fabulously successfully for a long time with Republican and Democrat support.",1,14
6439964,"Net Neutrality as we currently have it, is exactly what it describes: A Neutral Internet. Allowing ISPs to decide what people are allowed to browse by intentionally slowing down individual sites is an attack on our free internet highway.  An Internet that lets an ISP slow down sites Netflix because they (the ISP) are owned by a corporation with a competing service is an attack on American Values. Repealing Net Neutrality would give corporations and their ISPs the ability to censor the people and their voice, and that is absolutely unacceptable.",1,-1
7656659,"The idea of blocking sites is limiting my freedom, while I thought the USA is all about freedom, not communism.",1,-1
3235547,"FCC:  I'm very worried about the future of the Internet. I want to encourage Ajit Pai to overturn Barack Obama's scheme to regulate the web. Citizens, rather than the FCC Enforcement Bureau, should be free to purchase the services we want. Barack Obama's scheme to regulate the web is a distortion of the open Internet. It ended a free-market policy that performed fabulously successfully for decades with bipartisan backing.",1,14
